,first_name,second_name,id,unique
604,Conor,Coady,430,2430
605,Rúben Gonçalo,Silva Nascimento Vinagre,431,2431
606,Diogo,Jota,432,2432
607,Rúben Diogo,da Silva Neves,433,2433
608,Ivan,Cavaleiro,434,2434
609,Hélder,Costa,435,2435
610,Bright,Enobakhare,436,2436
611,Raúl,Jiménez,437,2437
612,Bonatini Lohner Maia,Bonatini,438,2438
613,Morgan,Gibbs-White,448,2448
614,Rafa,Mir,449,2449
615,Rui Pedro,dos Santos Patrício,454,2454
616,João Filipe Iria,Santos Moutinho,475,2475
617,Jonathan,Castro Otto,483,2483
618,Adama,Traoré,500,2500
619,Leander,Dendoncker,519,2519
620,Kortney,Hause,525,2525
621,Ryan John,Giles,555,2555
622,Max,Kilman,567,2567
623,Cameron,John,596,2596
